CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>>Receipts,Latest available,,,,,,,,,TBOPRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Technology BoP: receipts, million NC",,metadata/TBPRC_NC.html,,,,,,TBPRC_NC,,,,,,,,1030.2,,,10382,6432,,,,,,,15779,,,,,,,,,,,,,,,,1264,,,,,,,,,,,,,,,,59928.36,,,40674,,,,,,,,,250.589,,,4528.533,2865,,,,48450,,,857.2,,,,,,,,,,1066242.602,32164,,,,,88445,13651.55,10834.08,,602646,,,,,,,,141,,,,,,,5413.9,,,,,,,,,,,6690.995,,,,,,,,,,,,45277.61,,1475,,,,,17055,,,,,,,,,,11734.363,1556.734,,18561163.4,,524.9,134393.679,,,,,,,,,,,,,24835.9,428.3,518.8,,,,9104.316,,,,,132862.117,32719.816,,,,,,,,,,,,,,,,,,13929,,88891,,,,,,,,,,,163193.643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Technology BoP: receipts, million USD exchange rate",,metadata/TBPR_USD.html,,,,,,TBPR_USD,,,,,,,,18.306,,,4427.949,11315.808,,,,,,,17820.485,,,,,,,,,,,,,,,,2620.906,,,,,,,,,,,,,,,,3663.314,,,7686.343,,,,,,,,,444.814,,,10781.439,5188.288,,,,71836.473,,,812.613,,,,,,,,,,4178.558,543.078,,,,,73337.041,15371.544,13239.921,,32631.375,,,,,,,,316.084,,,,,,,4968.841,,,,,,,,,,,199.057,,,,,,,,,,,,56278.373,,830.731,,,,,4515.064,,,,,,,,,,4853.068,1771.218,,10407.9,,190.209,1654.732,,,,,,,,,,,,,5924.038,948.1,316.719,,,,17099.758,,,,,27970.425,30336.407,,,,,,,,,,,,,,,,,,41060.554,,130834,,,,,,,,,,,1114.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Technology BoP: receipts, million NC",,,,,,,,,,,,,,,,,,,10382,6432,,,,,,,15779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59928.36,,,40674,,,,,,,,,250.589,,,4528.533,,,,,48450,,,857.2,,,,,,,,,,1066242.602,32164,,,,,88445,13651.55,10834.08,,602646,,,,,,,,141,,,,,,,5413.9,,,,,,,,,,,,,,,,,,,,,,,45277.61,,,,,,,,,,,,,,,,,11734.363,1556.734,,18561163.4,,,134393.679,,,,,,,,,,,,,,,,,,,9104.316,,,,,132862.117,32719.816,,,,,,,,,,,,,,,,,,13929,,88891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Technology BoP: receipts, million USD exchange rate",,,,,,,,,,,,,,,,,,,4427.949,11315.808,,,,,,,17820.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3663.314,,,7686.343,,,,,,,,,444.814,,,10781.439,,,,,71836.473,,,812.613,,,,,,,,,,4178.558,543.078,,,,,73337.041,15371.544,13239.921,,32631.375,,,,,,,,316.084,,,,,,,4968.841,,,,,,,,,,,,,,,,,,,,,,,56278.373,,,,,,,,,,,,,,,,,4853.068,1771.218,,10407.9,,,1654.732,,,,,,,,,,,,,,,,,,,17099.758,,,,,27970.425,30336.407,,,,,,,,,,,,,,,,,,41060.554,,130834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Technology BoP: receipts, million NC",,,,,,,,,,,,,,,,,,,10212,6386,,,,,,,13746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65020.199,,,37297,,,,,,,,,275.298,,,4945.028,,,,,42982,,,862.7,,,,,,,,,,1121391.966,34426.1,,,,,57731,13567.862,10731.864,,513045,,,,,,,,128,,,,,,,5435.3,,,,,,,,,,,,,,,,,,,,,,,36811.222,,,,,,,,,,,,,,,,,18010.929,1459.452,,16363011.3,,,94250.379,,,,,,,,,,,,,,,,,,,8087.21,,,,,114111.999,32999.206,,,,,,,,,,,,,,,,,,13975,,90459,,,,,,,,,,,163193.643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Technology BoP: receipts, million USD exchange rate",,,,,,,,,,,,,,,,,,,4979.433,13219.575,,,,,,,19184.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3994.184,,,8708.649,,,,,,,,,491.78,,,11670.162,,,,,75809.566,,,1017.074,,,,,,,,,,4924.105,443.604,,,,,75485.843,14779.418,15144.266,,34549.366,,,,,,,,317.089,,,,,,,5702.567,,,,,,,,,,,,,,,,,,,,,,,52122.278,,,,,,,,,,,,,,,,,6020.793,2000.209,,9764.55,,,1279.213,,,,,,,,,,,,,,,,,,,19187.555,,,,,28034.383,32765.288,,,,,,,,,,,,,,,,,,45790.099,,134325,,,,,,,,,,,1114.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Technology BoP: receipts, million NC",,,,,,,,,,,,,,,,,,,9858,5952,,,,,,,10797,,,,,,,,,,,,,,,,1264,,,,,,,,,,,,,,,,61044.736,,,35737,,,,,,,,,221.999,,,5795.872,,,,,41599,,,716.8,,,,,,,,,,1165522.753,24564,,,,,43182,11666.867,10750.942,,577749,,,,,,,,143,,,,,,,5075.4,,,,,,,,,,,6690.995,,,,,,,,,,,,25137,,1475,,,,,17055,,,,,,,,,,16700.896,1096.801,,13180242.2,,524.9,78597.678,,,,,,,,,,,,,,,,,,,7186.855,,,,,87447.937,27913.578,,,,,,,,,,,,,,,,,,13937,,87920,,,,,,,,,,,151302.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Technology BoP: receipts, million USD exchange rate",,,,,,,,,,,,,,,,,,,4843.398,11997.464,,,,,,,17080.055,,,,,,,,,,,,,,,,2620.906,,,,,,,,,,,,,,,,3742.037,,,8424.924,,,,,,,,,458.208,,,11224.894,,,,,68357.395,,,774.604,,,,,,,,,,4779.977,323.442,,,,,63569.563,14558.705,14383.64,,34788.187,,,,,,,,297.375,,,,,,,4943.444,,,,,,,,,,,199.057,,,,,,,,,,,,44424.872,,830.731,,,,,4515.064,,,,,,,,,,4926.578,1805.143,,6845.632,,190.209,773.73,,,,,,,,,,,,,,,,,,,16171.107,,,,,26483.271,29959.953,,,,,,,,,,,,,,,,,,41547.034,,125519,,,,,,,,,,,1013.737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Technology BoP: receipts, million NC",,,,,,,,,,,,,,,,,,,8683,5237,,,,,,,9831,,,,,,,,,,,,,,,,892,,,,,,,,,,,,,,,,60855.076,,,38724,,,,,,,,,240.707,,,6886,,,,,43408,,,633.6,,,,,,,,,,913445.563,29909.2,,,,,42300,14114.683,9967.429,,448637,,,,,,,,129,,,,,,,3889.7,,,,,,,,,,,7404.943,,,,,,,,,,,,24032,,1619,,,,,17304,,,,,,,,,,12759.292,1006.283,,12449746.44,,420,63317.024,,,,,,,,,,,,,,428.3,518.8,,,,8243.729,,,,,86950.884,27008.09,,,,,,,,,,,,,,,,,,11774,,84168,,,,,,,,,,,150412.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Technology BoP: receipts, million USD exchange rate",,,,,,,,,,,,,,,,,,,4907.843,10902.055,,,,,,,14727.09,,,,,,,,,,,,,,,,2637.141,,,,,,,,,,,,,,,,3412.636,,,8305.948,,,,,,,,,387.217,,,10093.877,,,,,71205.776,,,674.296,,,,,,,,,,4395.992,254.293,,,,,55080.756,13141.187,13841.839,,34102.4,,,,,,,,240.319,,,,,,,4448.578,,,,,,,,,,,79.736,,,,,,,,,,,,40171.216,,837.733,,,,,4391.577,,,,,,,,,,4120.659,1576.676,,5310.796,,92.267,688.841,,,,,,,,,,,,,,948.1,316.719,,,,16125.7,,,,,23617.118,28311.259,,,,,,,,,,,,,,,,,,39559.465,,122658,,,,,,,,,,,903.869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Technology BoP: receipts, million NC",,,,,,,,,,,,,,,,,,,8543,4293,,,,,,,8092,,,,,,,,,,,,,,,,756,,,,,,,,,,,,,,,,48940.715,,,38161,,,,,,,,,245.935,,,5860,,,,,38735,,,911.5,,,,,,,,,,872633.193,24952.1,,,,,35175,9426.53,10935.269,,414760,,,,,,,,130,,,,,,,2297.3,,,,,,,,,,,9603.344,,,,,,,,,,,,21169,,2355,,,,,14185,,,,,,,,,,10782.333,1193.151,,10972625.15,,364,56279.252,,,,,,,,,,,,,,457.2,496.6,,,,8624.951,,,,,75039.862,23476.27,,,,,,,,,,,,,,,,,,11126,,81826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Technology BoP: receipts, million USD exchange rate",,,,,,,,,,,,,,,,,,,5049.186,10553.895,,,,,,,12979.679,,,,,,,,,,,,,,,,2652.773,,,,,,,,,,,,,,,,3251.794,,,7455.048,,,,,,,,,361.218,,,10795.779,,,,,69603.996,,,797.103,,,,,,,,,,4549.906,302.209,,,,,49683.379,12182.822,12177.744,,29887.195,,,,,,,,255.191,,,,,,,2939.438,,,,,,,,,,,96.355,,,,,,,,,,,,39985.668,,1184.221,,,,,4154.796,,,,,,,,,,3724.197,1540.033,,4032.068,,31.162,592.642,,,,,,,,,,,,,,769.995,301.103,,,,17702.866,,,,,23177.575,25203.792,,,,,,,,,,,,,,,,,,35653.812,,119936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Technology BoP: receipts, million NC",,,,,,,,,,,,,,,,,,,7958,3516,,,,,,,7527,,,,,,,,,,,,,,,,583,,,,,,,,,,,,,,,,41050.017,,,28977,,,,,,,,,144.414,,,5866,,,,,34134,,,1044.9,,,,,,,,,,792718.201,21887.8,,,,,33657,9324.859,10469.084,,530070,,,,,,,,102,,,,,,,1646.3,,,,,,,,,,,8294.527,,,,,,,,,,,,,,1821,,,,,13714,,,,,,,,,,16461.042,1101.988,,11831464.86,,321,42822.793,,,,,,,,,,,,,,576.1,477.2,,,,8127.888,,,,,70967.793,22080.54,,,,,,,,,,,,,,,,,,11931,,69577,,,,,,,,,,,141746.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Technology BoP: receipts, million USD exchange rate",,,,,,,,,,,,,,,,,,,4577.312,8244.542,,,,,,,11771.485,,,,,,,,,,,,,,,,3000.497,,,,,,,,,,,,,,,,2223.975,,,6352.156,,,,,,,,,294.705,,,9472.284,,,,,58245.539,,,715.189,,,,,,,,,,4185.543,283.086,,,,,40878.361,10117.281,10276.985,,27758.504,,,,,,,,188.13,,,,,,,2363.303,,,,,,,,,,,87.756,,,,,,,,,,,,,,885.553,,,,,4198.925,,,,,,,,,,3317.589,1276.218,,3344.897,,19.856,627.837,,,,,,,,,,,,,,504.473,265.547,,,,15064.206,,,,,17751.78,20820.352,,,,,,,,,,,,,,,,,,31119.658,,100569,,,,,,,,,,,822.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Technology BoP: receipts, million NC",,,,,,,,,,,,,,,,,,,7071,3644,,,,,,,7717,,,,,,,,,,,,,,,,941,,,,,,,,,,,,,,,,48059.281,,,31086,,,,,,,,,124.338,,,6523.15,,,,,28850,,,955.4,,,,,,,,,,806374.208,17383,,,,,30337,8391.827,9594.426,,534901,,,,,,,,86,,,,,,,1249,,,,,,,,,,,24623.544,,,,,,,,,,,,18694.1,,1730,,,,,11226,,,,,,,,,,11795.228,1158.198,,10774863.03,,244,49911,,,,,,,,,,,,,24835.9,604.6,443.6,,,,8222.584,,,,,78599.163,20991.5,,,,,,,,,,,,,,,,,,11046,,61884,,,,,,,,,,,101519.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Technology BoP: receipts, million USD exchange rate",,,,,,,,,,,,,,,,,,,3674.966,8508.796,,,,,,,11853.968,,,,,,,,,,,,,,,,2306.884,,,,,,,,,,,,,,,,2260.546,,,7262.259,,,,,,,,,271.788,,,9502.442,,,,,48566.121,,,721.268,,,,,,,,,,3631.599,337.484,,,,,37087.235,9268.047,8848.285,,21538.176,,,,,,,,162.651,,,,,,,1635.356,,,,,,,,,,,94.301,,,,,,,,,,,,29473.079,,1288.044,,,,,3194.964,,,,,,,,,,2269.991,1489.645,,3581.9,,22.956,606.933,,,,,,,,,,,,,5924.038,444.819,295.203,,,,15807.666,,,,,16726.109,18612.953,,,,,,,,,,,,,,,,,,29527.078,,93949,,,,,,,,,,,754.952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Technology BoP: receipts, million NC",,,,,,,,,,,,,,,,,,,7386,3956,,,,,,,6716,,,,,,,,,,,,,,,,1112,,,,,,,,,,,,,,,,39316.17,,,29712,,,,,,,,,118.576,,,6394.04,,,,,28351,,,977.7,,,,,,,,,,806688.482,,,,,,29045,9075.032,10657.529,,600044,,,,,,,,118,,,,,,,1149.4,,,,,,,,,,,,,,,,,,,,,,,15983.48,,1737,,,,,18816,,,,,,,,,,11541.448,973.739,,6248513.295,,280.1,55111,,,,,,,,,,,,,24721.7,607.4,403.5,,,,9747.354,,,,,82018.728,18659.21,,,,,,,,,,,,,,,,,,9903,,57509,,,,,,,,,,,75656.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Technology BoP: receipts, million USD exchange rate",,,,,,,,,,,,,,,,,,,4147.869,9421.764,,,,,,,9329.48,,,,,,,,,,,,,,,,2754.348,,,,,,,,,,,,,,,,2453.225,,,7623.578,,,,,,,,,273.171,,,10677.472,,,,,49613.673,,,856.631,,,,,,,,,,3598.721,,,,,,37780.805,9359.277,11178.908,,21531.355,,,,,,,,190.019,,,,,,,1471.711,,,,,,,,,,,,,,,,,,,,,,,30508.658,,839.234,,,,,3588.475,,,,,,,,,,2960.041,1323.184,,2529.608,,29.259,872.083,,,,,,,,,,,,,5970.552,799.358,424.214,,,,17920.979,,,,,17858.142,15289.403,,,,,,,,,,,,,,,,,,33796.214,,94453,,,,,,,,,,,626.944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Technology BoP: receipts, million NC",,,,,,,,,,,,,,,,,,,6087,3512,,,,,,,5803,,,,,,,,,,,,,,,,1641,,,,,,,,,,,,,,,,38951.226,,,25302,,,,,,,,,89.604,,,4144,,,,,27266,,,828.3,,,,,,,,,,678076.3,,,,,,22748,8826.314,3375.053,,710510,,,,,,,,110,,,,,,,1025.3,,,,,,,,,,,15173.286,,,,,,,,,,,,13781.5,,1514,,,,,14736,,,,,,,,,,11056.598,830.223,,4742463.1,,160.4,35715,,,,,,,,,,,,,18938.8,614,,,,,6746.864,,,,,74359.795,18858.9,,,,,,,,,,,,,,,,,,8573,,50128,,,,,,,,,,,65171.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Technology BoP: receipts, million USD exchange rate",,,,,,,,,,,,,,,,,,,3777.177,7886.264,,,,,,,6910.404,,,,,,,,,,,,,,,,3139.375,,,,,,,,,,,,,,,,1339.972,,,6822.932,,,,,,,,,199.098,,,3878.804,,,,,40988.862,,,443.859,,,,,,,,,,2635.176,,,,,,32262.237,8183.264,5737.347,,21080.192,,,,,,,,146.363,,,,,,,1274.777,,,,,,,,,,,94.366,,,,,,,,,,,,24670.703,,598.232,,,,,3303.497,,,,,,,,,,1700.379,1105.281,,2178.299,,13.698,622.958,,,,,,,,,,,,,4134.625,429.669,,,,,6625.409,,,,,16563.905,12770.802,,,,,,,,,,,,,,,,,,33343.227,,85930,,,,,,,,,,,511.677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Technology BoP: receipts, million NC",,,,,,,,,,,,,,,,,,,4781,3212,,,,,,,5073.184,,,,,,,,,,,,,,,,1390,,,,,,,,,,,,,,,,37015.1,,,21556,,,,,,,,,70.967,,,3947,,,,,24399,,,649.5,,,,,,,,,,530355.1,,,,,,22155,8469.087,3180.541,,705388,,,,,,,,73,,,,,,,790.3,,,,,,,,,,,,,,,,,,,,,,,12436,,1560,,,,,14141,,,,,,,,,,9262.373,785.962,,4618896.942,,162.1,30940,,,,,,,,,,,,,20091.5,468.1,,,,,5665.131,,,,,79810.618,17592.57,,,,,,,,,,,,,,,,,,8276,,42994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Technology BoP: receipts, million USD exchange rate",,,,,,,,,,,,,,,,,,,3410.46,6705.214,,,,,,,8329.275,,,,,,,,,,,,,,,,2498.318,,,,,,,,,,,,,,,,1374.184,,,5978.195,,,,,,,,,123.785,,,3187.643,,,,,34106.897,,,409.213,,,,,,,,,,1587.886,,,,,,25054.544,7553.588,4967.97,,20448.754,,,,,,,,101.582,,,,,,,1140.702,,,,,,,,,,,,,,,,,,,,,,,15600.756,,492.2,,,,,3311.071,,,,,,,,,,1273.069,732.162,,1896.601,,18.797,528.497,,,,,,,,,,,,,3515.251,315.287,,,,,5729.509,,,,,11548.494,11342.019,,,,,,,,,,,,,,,,,,30179.213,,75699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
